sent_id,processed_text,lemma_text,upos_seq
NSDC_UA_28_Feb2014-1,"Шановні колеги , Рада національної безпеки має Секретаря Ради національної безпеки , найближчим часом будуть сформовані фактично всі підрозділи РНБО , призначені заступники Секретаря Ради національної безпеки та оборони , і я сподіваюся , що Рада національної безпеки та оборони буде відповідати тим задачам і завданням , тим викликам , які сьогодні стоять перед нашою країною .","шановний колега , рада національний безпека мати секретар рада національний безпека , найближчий час бути сформований фактично весь підрозділ РНБО , призначений заступник секретар рада національний безпека та оборона , і я сподіватися , що рада національний безпека та оборона бути відповідати той задача і завдання , той виклик , який сьогодні стояти перед наш країна .",ADJ NOUN PUNCT NOUN ADJ NOUN VERB NOUN NOUN ADJ NOUN PUNCT ADJ NOUN AUX ADJ ADV DET NOUN PROPN PUNCT ADJ NOUN NOUN NOUN ADJ NOUN CCONJ NOUN PUNCT CCONJ PRON VERB PUNCT SCONJ NOUN ADJ NOUN CCONJ NOUN AUX VERB DET NOUN CCONJ NOUN PUNCT DET NOUN PUNCT DET ADV VERB ADP DET NOUN PUNCT
NSDC_UA_28_Feb2014-10,"Рішень , які захистять Україну , які зможуть локалізувати осередки сепаратизму , рішення , які зможуть забезпечити справедливість та покарання злочинців .","рішення , який захистити Україна , який змогти локалізувати осередок сепаратизм , рішення , який змогти забезпечити справедливість та покарання злочинець .",NOUN PUNCT DET VERB PROPN PUNCT DET VERB VERB NOUN NOUN PUNCT NOUN PUNCT DET VERB VERB NOUN CCONJ NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-100,Наших - це в основному військово-морські сили - 15 тисяч осіб .,наш — це в основне військово-морський сила — 15 тисяча особа .,DET PUNCT PRON ADP NOUN ADJ NOUN PUNCT NUM NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-101,А крім морських сил у нас немає ніяких сухопутних ?,а крім морський сила у ми немає ніякий сухопутний ?,CCONJ ADP ADJ NOUN ADP PRON VERB DET ADJ PUNCT
NSDC_UA_28_Feb2014-102,15 тисяч - це повний склад військових .,15 тисяча — це повний склад військовий .,NUM NOUN PUNCT PRON ADJ NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-103,"Тобто всіх , які нам підпорядковані .","тобто весь , який ми підпорядкований .",CCONJ DET PUNCT DET PRON ADJ PUNCT
NSDC_UA_28_Feb2014-104,Але це - номінальна чисельність .,але це — номінальний чисельність .,CCONJ PRON PUNCT ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-105,Боєздатна складова ?,боєздатний складова ?,ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-106,Важко відповісти .,важко відповісти .,ADV VERB PUNCT
NSDC_UA_28_Feb2014-107,Більшість серед військових - місцеві контрактники .,більшість серед військовий — місцевий контрактник .,NOUN ADP NOUN PUNCT ADJ NOUN PUNCT
