split,sent_id,token_id,token,lemma,upos,head,deprel
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,1,Доброго,добрий,ADJ,2,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,2,ранку,ранок,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,3,",",",",PUNCT,6,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,4,шановні,шановний,ADJ,6,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,5,народні,народний,ADJ,6,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,6,депутати,депутат,NOUN,2,vocative
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,7,",",",",PUNCT,8,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,8,запрошені,запрошений,ADJ,6,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,9,та,та,CCONJ,10,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,10,гості,гість,NOUN,6,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,11,Верховної,верховний,ADJ,12,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,12,Ради,рада,NOUN,10,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s1,13,.,.,PUNCT,2,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,1,Прошу,просити,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,2,",",",",PUNCT,4,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,3,шановні,шановний,ADJ,4,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,4,колеги,колега,NOUN,1,vocative
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,5,",",",",PUNCT,4,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,6,підготуватися,підготуватися,VERB,1,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,7,до,до,ADP,8,case
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,8,реєстрації,реєстрація,NOUN,6,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p1.lang1.s2,9,.,.,PUNCT,1,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p2.lang1.s1,1,Ввімкніть,ввімкнути,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p2.lang1.s1,2,систему,система,NOUN,1,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p2.lang1.s1,3,"""","""",PUNCT,4,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p2.lang1.s1,4,Рада,Рада,PROPN,2,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p2.lang1.s1,5,"""","""",PUNCT,4,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p2.lang1.s1,6,.,.,PUNCT,1,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p3.lang1.s1,1,Зареєструвалося,зареєструватися,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p3.lang1.s1,2,-,-,PUNCT,3,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p3.lang1.s1,3,433,433,NUM,1,nsubj
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s1,1,Зареєстровано,зареєструвати,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s1,2,433,433,NUM,4,nummod
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s1,3,народних,народний,ADJ,4,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s1,4,депутати,депутат,NOUN,1,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s1,5,.,.,PUNCT,1,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s2,1,Ранкове,ранковий,ADJ,2,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s2,2,засідання,засідання,NOUN,3,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s2,3,оголошую,оголошувати,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s2,4,відкритим,відкритий,ADJ,3,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p4.lang1.s2,5,.,.,PUNCT,3,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,1,Шановні,шановний,ADJ,2,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,2,колеги,колега,NOUN,6,vocative
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,3,",",",",PUNCT,2,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,4,сьогодні,сьогодні,ADV,6,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,5,велике,великий,ADJ,6,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,6,свято,свято,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,7,Покров,покров,NOUN,6,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,8,Пресвятої,пресвятий,ADJ,9,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,9,Богородиці,богородиця,NOUN,7,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s1,10,.,.,PUNCT,6,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,1,Я,я,PRON,3,nsubj
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,2,щиро,щиро,ADV,3,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,3,вітаю,вітати,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,4,вас,ви,PRON,3,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,5,з,з,ADP,7,case
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,6,цим,цей,DET,7,det
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,7,святом,свято,NOUN,3,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,8,і,і,CCONJ,9,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,9,сподіваюся,сподіватися,VERB,3,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,10,",",",",PUNCT,15,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,11,що,що,SCONJ,15,mark
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,12,ми,ми,PRON,15,nsubj
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,13,сьогодні,сьогодні,ADV,15,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,14,будемо,бути,AUX,15,aux
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,15,працювати,працювати,VERB,9,ccomp
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,16,злагоджено,злагоджено,ADV,15,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,17,і,і,CCONJ,18,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,18,спокійно,спокійно,ADV,16,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,19,з,з,ADP,20,case
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,20,врахуванням,врахування,NOUN,15,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,21,цього,цей,DET,22,det
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,22,свята,свято,NOUN,20,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p5.lang1.s2,23,.,.,PUNCT,3,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,1,Шановні,шановний,ADJ,3,amod
